t,Xi,Xa
0,0.013046451032592755,1.931171756285878
1,0.024498197954908048,1.8772021527662774
2,0.03594994487722334,1.8232325492466772
3,0.04740169179953863,1.769262945727077
4,0.058853438721853925,1.7152933422074765
5,0.07030518564416921,1.661323738687876
6,0.0817569325664845,1.6073541351682759
7,0.0932086794887998,1.5533845316486756
8,0.10466042641111509,1.4994149281290752
9,0.10788130200327316,1.4812716927634904
10,0.0771216493231088,1.5480614199665232
11,0.25188787419141756,1.4446189060161845
12,0.4266540990597263,1.341176392065846
13,1.1779995886820214,1.0738202919393545
14,1.1779995886820214,1.0738202919393545
15,1.1779995886820214,1.0738202919393545
16,1.1779995886820214,1.0738202919393545
17,1.1779995886820214,1.0738202919393545
18,1.1779995886820214,1.0738202919393545
19,1.1779995886820214,1.0738202919393545
