n,K1,K2,K3,K4,a1,a2,b1,b2,c1,c2
9.000000000000000000e+00,4.500000000000000000e+01,4.400000000000000000e+01,9.000000000000000000e+01,3.800000000000000000e+01,5.000000000000000000e+00,3.500000000000000000e+01,7.100000000000000000e+01,6.970000000000000284e+01,8.031250000000000000e+00,1.429531250000000142e+01
2.500000000000000000e+01,7.100000000000000000e+01,1.200000000000000000e+01,7.900000000000000000e+01,9.600000000000000000e+01,9.900000000000000000e+01,4.400000000000000000e+01,2.200000000000000000e+01,6.900000000000000000e+01,5.000000000000000000e+00,2.940000000000000213e+01
1.200000000000000000e+01,7.100000000000000000e+01,3.500000000000000000e+01,5.600000000000000000e+01,3.000000000000000000e+01,7.400000000000000000e+01,6.300000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+01,4.300000000000000000e+01,2.499375000000000213e+01
2.000000000000000000e+01,4.600000000000000000e+01,3.500000000000000000e+01,2.000000000000000000e+01,1.000000000000000000e+01,3.000000000000000000e+01,9.300000000000000000e+01,5.000000000000000000e+01,6.200000000000000000e+01,2.006250000000000000e+01,4.710937500000000000e+01
3.600000000000000000e+01,7.400000000000000000e+01,3.600000000000000000e+01,7.000000000000000000e+01,2.000000000000000000e+01,9.800000000000000000e+01,9.200000000000000000e+01,1.800000000000000000e+01,7.900000000000000000e+01,2.600000000000000000e+01,3.216250000000000142e+01
1.800000000000000000e+01,7.300000000000000000e+01,2.200000000000000000e+01,1.600000000000000000e+01,4.000000000000000000e+01,5.200000000000000000e+01,7.400000000000000000e+01,4.300000000000000000e+01,5.700000000000000000e+01,5.000000000000000000e+00,4.000000000000000000e+01
5.400000000000000000e+01,2.000000000000000000e+00,4.200000000000000000e+01,5.800000000000000000e+01,5.700000000000000000e+01,6.600000000000000000e+01,3.100000000000000000e+01,3.300000000000000000e+01,3.500000000000000000e+01,2.255000000000000071e+01,2.300000000000000000e+01
5.200000000000000000e+01,4.700000000000000000e+01,1.700000000000000000e+01,7.400000000000000000e+01,8.800000000000000000e+01,8.200000000000000000e+01,8.700000000000000000e+01,4.300000000000000000e+01,6.700000000000000000e+01,2.725502014160156250e+01,2.979093322753906037e+01
8.900000000000000000e+01,1.900000000000000000e+01,2.800000000000000000e+01,5.000000000000000000e+01,1.200000000000000000e+01,3.200000000000000000e+01,8.000000000000000000e+01,8.800000000000000000e+01,8.500000000000000000e+01,1.434927368164062500e+01,2.500129699707031250e+01
3.800000000000000000e+01,1.600000000000000000e+01,4.800000000000000000e+01,9.900000000000000000e+01,1.600000000000000000e+01,6.100000000000000000e+01,7.600000000000000000e+01,6.000000000000000000e+01,7.800000000000000000e+01,4.300000000000000000e+01,1.300507812500000071e+01
